公園コード,公園名,区名,地番又は住所,種別,最終開設面積（ha）,緯度,経度
2001041,江川第三公園,岩槻区,江川区画整理事業地内１０５街区１２画地,街区,0.12,35.96373,139.69233
1821001,見沼桜橋緑地,南区,大字大谷口5736-3,都緑,0.04,35.85259,139.69246
2031020,北辰神社こども広場,岩槻区,大字横根６５６－２,子供,0.01,35.92886,139.69275
1822007,フラワーロード,南区,大字円正寺365-2,緑道,1.26,35.85113,139.69287
2031023,八雲神社こども広場,岩槻区,本町１－１５－６,子供,0.02,35.94568,139.69289
1901094,水深南公園,緑区,大間木2丁目8-2,街区,0.23,35.8751307060645,139.69290805215
1801022,大谷口向公園,南区,大字大谷口2273-10,街区,0.02,35.8586,139.69292
1901002,宮本第三公園,緑区,宮本２丁目14,街区,0.19,35.88731446111111,139.6932188
2013001,岩槻駅前広場,岩槻区,本町３丁目1-3,広場,0.05,35.95002113611111,139.69342353333334
2001018,大日本開発岩槻団地公園,岩槻区,加倉４丁目1720-27,街区,0.05,35.94239774444444,139.69348153055557
1801056,円正寺第一公園,南区,大字円正寺508,街区,0.38,35.851159108333334,139.693632175
1802002,明花公園,南区,大字大谷口5732,近隣,1.1,35.85459341111111,139.6937845888889
1901091,大間木１丁目第一公園,緑区,内谷・会ノ谷特定土地区画整理事業１１街区,街区,0.18,35.87262,139.6938
1801039,東中尾公園,南区,大字大谷口5226,街区,0.25,35.862392058333334,139.69404663333333
1401081,若林公園,見沼区,片柳１丁目262-52,街区,0.03,35.897802705555556,139.69422035833333
1902003,見沼氷川公園,緑区,大字見沼500,近隣,2.34,35.88585,139.69434
1901003,宮本第四公園,緑区,宮本１丁目21,街区,0.21,35.89056089444444,139.69437403611113
1901007,芝原中央公園,緑区,芝原３丁目7,街区,0.27,35.87893176666667,139.69449956111112
2001039,江川第一公園,岩槻区,江川区画整理事業地内５街区９画地,街区,0.13,35.96784,139.69458
1822002,円正寺緑道,南区,大字円正寺541,緑道,0.23,35.852835705555556,139.69464715
1901038,西台第一公園,緑区,大字上野田（元染谷分）字西谷637-10,街区,0.02,35.90898476666666,139.69474400833334
2001040,江川第二公園,岩槻区,江川区画整理事業地内４０街区６画地,街区,0.13,35.96454,139.69491
1901018,尾間木内谷公園,緑区,東浦和８丁目15-1,街区,0.26,35.868860169444446,139.6952816638889
1801037,浦和向公園,南区,大字大谷口5461,街区,0.65,35.85689,139.69545
2001005,白水児童公園,岩槻区,古ヶ場２丁目5,街区,0.25,35.980152275,139.69552734166666
1901036,鍵田公園,緑区,東浦和２丁目53-1,街区,0.15,35.860249144444445,139.69563796111112
1901093,大間木１丁目第二公園,緑区,内谷・会ノ谷特定土地区画整理事業２９街区,街区,0.2,35.8727594785239,139.695714410716
1901056,大間木内谷公園,緑区,大字大間木706-14,街区,0.01,35.87215968333334,139.69596209722224
1901017,芝原東公園,緑区,芝原２丁目23,街区,0.26,35.88233323055556,139.69597376944444
2031009,新町公民館こども広場,岩槻区,本町２－１－１２,子供,0.01,35.94721,139.69611
2001006,鷲宮児童公園,岩槻区,上野６丁目6-7,街区,0.19,35.97772,139.69641
2001066,原町ふれあい公園,岩槻区,原町1622番5,街区,0.05,35.93969,139.69642
2031029,原町こども広場,岩槻区,大字柏崎１７１３－２,子供,0.03,35.938448441666665,139.696427925
1921004,馬堤緑地,緑区,東浦和２丁目74-4,都緑,0.03,35.8629,139.69667
2001057,愛宕ふれあい広場,岩槻区,愛宕町2692-39,街区,0.06,35.95518042222223,139.69685202222223
1901059,新見沼大橋スポーツ広場,緑区,大字見沼318-2,街区,1.21,35.88182537777778,139.69704997222223
2031018,"鹿室土地改良区
こども広場",岩槻区,大字鹿室６４０－４,子供,0.02,35.99731,139.69735
1904002,見沼自然公園(さぎ山記念公園内),緑区,大字南部領辻450-1,総合,10.92,35.90516,139.69736
1901013,芝原南公園,緑区,芝原３丁目28,街区,0.22,35.87887966666667,139.69773259444446
1901043,大北公園,緑区,東浦和３丁目20-1,街区,0.17,35.86705046666667,139.69782694166668
2023001,上野緑地,岩槻区,上野１丁目19-10,"緩衝
緑地",0.25,35.97095,139.69785
1901061,馬堤公園,緑区,東浦和２丁目48-5,街区,0.16,35.861041452777776,139.69788267777778
2031002,三峰神社こども広場,岩槻区,本町４－９－８,子供,0.03,35.94721,139.69792
1901062,井沼方南公園,緑区,東浦和２丁目32-1,街区,0.05,35.8590885,139.6986547777778
1901032,梅所第三公園,緑区,大字大牧1446-45,街区,0.03,35.87772242222222,139.69892468333333
2001051,裏小路公園,岩槻区,本町４丁目217-1,街区,0.09,35.950213850000004,139.69943585000001
2001042,江川第四公園,岩槻区,江川区画整理事業地内２８街区,街区,0.2,35.96503,139.69957
1901011,赤堀公園,緑区,東浦和４丁目31-1,街区,0.3,35.86997394722222,139.69957440555555
1904001,さぎ山記念公園,緑区,大字上野田362-1,総合,4.35,35.90687,139.69963
1901015,東谷公園,緑区,東浦和２丁目2-1,街区,0.26,35.86319593333334,139.7003813861111
2001007,松山児童公園,岩槻区,上野２丁目11-1,街区,0.25,35.97211423611111,139.70039558888888
2001008,上野南児童公園,岩槻区,上野１丁目10-14,街区,0.25,35.96912024444445,139.70051126388887
2031003,秋葉神社こども広場,岩槻区,仲町１－１－１２,子供,0.04,35.945891,139.700581
1902004,井沼方公園,緑区,東浦和２丁目15-1,近隣,1.16,35.862017908333335,139.70098349999998
2001011,大同新正寺公園,岩槻区,本丸１丁目7054-56,街区,0.15,35.95464433055556,139.7012180472222
1901027,梅所第二公園,緑区,東浦和７丁目46-23,街区,0.07,35.87220679722222,139.70124318888887
1902001,東浦和中央公園,緑区,東浦和４丁目4-1,近隣,1.67,35.86550751111111,139.7012736861111
2001050,岩槻東町２丁目第一公園,岩槻区,東町２丁目471-13,街区,0.01,35.94280891944444,139.70200665
2031014,白山神社こども広場,岩槻区,大字鹿室１１２４,子供,0.03,35.98939,139.70239
2001059,慈恩寺第二公園,岩槻区,大字慈恩寺字山口546-16,街区,0.05,35.983576408333334,139.70244881666665
2001028,岩槻斉木ハイツ公園,岩槻区,太田１丁目238-23,街区,0.02,35.95257,139.70297
2001052,宮の杜ふれあい公園,岩槻区,宮町2丁目427-1,街区,0.16,35.957945575000004,139.70298034722222
1901026,梅所第一公園,緑区,東浦和７丁目36-9,街区,0.31,35.872913225,139.70301778055554
2001031,上野東公園,岩槻区,大字上野69-5,街区,0.02,35.96758860277778,139.70304676944443
2001019,グリーンクレスト公園,岩槻区,大字裏慈恩寺104-22,街区,0.09,35.9794556,139.70324450277778
2001043,江川第五公園,岩槻区,江川土地区画整理事業地内,街区,0.36,35.96203,139.70327
1901053,和田公園,緑区,東浦和７丁目15-1,街区,0.25,35.86997779722222,139.70341050555555
2001067,仲町りんどう公園,岩槻区,仲町２丁目404番1,街区,0.56,35.944330599999994,139.70354606388887
2001058,慈恩寺第一公園,岩槻区,大字慈恩寺字山口546-12,街区,0.04,35.983674102777776,139.7038520638889
1922001,見沼代用水西縁緑道,緑区,大字大牧372-2,緑道,0.16,35.86156338055556,139.70423188333334
2001044,表慈恩寺西公園,岩槻区,大字表慈恩寺1374-6,街区,0.05,35.974350022222225,139.70456719444442
2001023,群峰団地公園,岩槻区,本丸２丁目7027-82,街区,0.07,35.957000436111116,139.70473160833333
1901048,東浦和南公園,緑区,東浦和１丁目19-1,街区,0.18,35.86245833611111,139.7047450972222
2031026,正蔵院こども広場,岩槻区,大字真福寺４６６－３,子供,0.05,35.93419328333333,139.70494144999998
1921005,大間木氷川緑地,緑区,東浦和5丁目20-4,都緑,0.1,35.867074897222224,139.70497162222222
2002001,岩槻諏訪公園,岩槻区,諏訪４丁目4,近隣,2.16,35.96906,139.70535
2001016,大同東野公園,岩槻区,本丸２丁目276-360,街区,0.22,35.956563369444446,139.70556420833333
2001049,宮町児童公園,岩槻区,宮町２丁目14,街区,0.25,35.95976,139.70612
2001025,大同新宮町公園,岩槻区,宮町２丁目7229-56,街区,0.02,35.95884,139.70613
1901012,大六天公園,緑区,東浦和５丁目30-1,街区,0.21,35.86926,139.70645
2001033,城南二丁目公園,岩槻区,城南２丁目153-22,街区,0.01,35.94235,139.70646
1901042,女躰下公園,緑区,東浦和６丁目23-4,街区,0.17,35.87478261111111,139.7064721972222
2031007,住吉神社こども広場,岩槻区,仲町２－１３－８,子供,0.02,35.94723,139.70669
1901055,大間木附島公園,緑区,大字大間木1597-2,街区,0.01,35.860428069444445,139.70679358888887
1901052,吉場公園,緑区,東浦和５丁目5-8,街区,0.22,35.865518430555554,139.706815175
2031019,笹久保新田浅間神社こども広場,岩槻区,大字笹久保新田１０６２－３,子供,0.03,35.91609,139.70697
1904004,見沼通船堀公園,緑区,大字大間木1506,総合,0.66,35.863126,139.707556
2001002,かなりや児童公園,岩槻区,東岩槻３丁目9,街区,0.25,35.964075819444446,139.7076596361111
2001048,城町竹林公園,岩槻区,城町１丁目6,街区,0.32,35.94522,139.70882
1904003,大間木公園（見沼通船堀公園内）,緑区,大字大間木1947,総合,4.7,35.863771408333335,139.70945864722222
2001001,ひばり児童公園,岩槻区,諏訪２丁目4,街区,0.26,35.96897730277778,139.7096276972222
2001032,太田二丁目公園,岩槻区,太田２丁目269-211,街区,0.01,35.95386704166667,139.710132375
1941006,八丁稲荷児童遊園,緑区,大間木字八丁1914,民間,0.03,35.86191,139.71034
2004001,岩槻城址公園,岩槻区,太田３丁目1-1,総合,17.84,35.95137,139.71036
2031005,府内浅間神社こども広場,岩槻区,府内１－６,子供,0.02,35.94342,139.71038
2032001,元荒川サイクリング道路,岩槻区,大字掛地内～大字村国地内,その他,,35.95831,139.71053
1911001,浦和くらしの博物館民家園,緑区,大字下山口新田1179-1,歴史,1.74,35.878061205555554,139.71069031666664
